"id","name","terms"
"d014406","tularemia","francisella tularensis infection;francisella tularensis infections;infection francisella tularensis"
"d002771","cholera",""
"d014735","vibrio infections","infection vibrio;vibrio infection;vibrio illness;vibrio illnesses;vibriosis;vibrioses"
"d000712","anaplasmosis","anaplasmoses;anaplasma phagocytophilum infection;anaplasma phagocytophilum infections;anaplasma infection;anaplasma infections;infection anaplasma;infections anaplasma;anaplasmoses human granulocytic;granulocytic anaplasmoses human;human granulocytic anaplasmoses;anaplasmoses human;human anaplasmoses"
"d000711","anaplasmataceae infections","anaplasmataceae infection;infection anaplasmataceae;haemobartonellosis;haemobartonelloses"
"d016905","gram-negative bacterial infections","bacterial infection gram-negative;gram negative bacterial infections;gram-negative bacterial infection;infection gram-negative bacterial"
"d059707","aliivibrio infections","aliivibrio infection;infection aliivibrio"
"d039941","bifidobacteriales infections","bifidobacteriales infection;infection bifidobacteriales"
"d001906","botulism","clostridium botulinum infection;clostridium botulinum infections;infection clostridium botulinum"
"d004761","enterocolitis pseudomembranous","enteritis pseudomembranous;pseudomembranous enteritis;colitis pseudomembranous;pseudomembranous colitis;antibiotic-associated colitis;antibiotic associated colitis;colitis antibiotic-associated;clostridium enterocolitis"
"d004767","enterotoxemia",""
"d005738","gas gangrene","gangrenes gas"
"d013742","tetanus","clostridium tetani infection;clostridium tetani infections;infection clostridium tetani;infections clostridium tetani"
"d003015","clostridium infections","clostridium infection;infection clostridium;clostridium difficile infection;clostridium difficile infections;infection clostridium difficile;infections clostridium difficile;clostridium sordellii infection;clostridium sordellii infections;infection clostridium sordellii;infections clostridium sordellii;clostridium perfringens infections;clostridium perfringens infection;infection clostridium perfringens;infections clostridium perfringens;clostridium perfringens food poisoning"
"d004887","erysipeloid",""
"d013554","swine erysipelas",""
"d004889","erysipelothrix infections","erysipelothrix infection;infection erysipelothrix"
"d008088","listeriosis","listerioses;listeria infections;infection listeria;listeria infection;infections listeria"
"d011023","pneumonia staphylococcal","pneumonias staphylococcal;staphylococcal pneumonias;staphylococcus aureus pneumonia;pneumonia staphylococcus aureus;pneumonias staphylococcus aureus;staphylococcus aureus pneumonias"
"d013202","staphylococcal food poisoning","food poisonings staphylococcal;poisonings staphylococcal food"
"d002270","carbuncle",""
"d005667","furunculosis","boils;furuncles"
"d007169","impetigo",""
"d013206","staphylococcal scalded skin syndrome","staphylococcal scalded-skin syndrome;scalded-skin syndrome staphylococcal;scalded-skin syndromes staphylococcal;staphylococcal scalded-skin syndromes;syndrome staphylococcal scalded-skin;syndromes staphylococcal scalded-skin;ritters disease;disease ritters;ritters disease;ritter disease;disease ritter"
"d013207","staphylococcal skin infections","staphylococcal skin diseases;staphylococcal diseases skin;skin diseases staphylococcal"
"d013203","staphylococcal infections","staphylococcal infection;staphylococcus aureus infection;staphylococcus aureus infections"
"d004473","ecthyma",""
"d004886","erysipelas",""
"d011018","pneumonia pneumococcal","pneumococcal pneumonias;pneumonias pneumococcal"
"d011008","pneumococcal infections","streptococcus pneumoniae infections;infections streptococcus pneumoniae;infection streptococcus pneumoniae;streptococcus pneumoniae infection;pneumococcal diseases;disease pneumococcal;diseases pneumococcal;pneumococcal disease;infection pneumococcal;pneumococcal infection"
"d012214","rheumatic heart disease","diseases rheumatic heart;heart diseases rheumatic;bouillaud disease;disease bouillaud;bouillauds disease;bouillauds disease;disease bouillauds"
"d012213","rheumatic fever","fevers rheumatic;arthritis acute rheumatic;acute rheumatic arthritides;acute rheumatic arthritis;arthritides acute rheumatic;rheumatic arthritides acute;rheumatic arthritis acute;arthritis rheumatic acute;rheumatism articular acute;polyarthritis rheumatica;polyarthritis rheumaticas;rheumatic arthritis;arthritides rheumatic;arthritis rheumatic;rheumatic arthritides;rheumatism acute articular;acute articular rheumatism;acute articular rheumatisms;articular rheumatism acute;articular rheumatisms acute;rheumatisms acute articular;fever acute rheumatic;fevers acute rheumatic;inflammatory rheumatism;inflammatory rheumatisms;rheumatism inflammatory;rheumatisms inflammatory"
"d012541","scarlet fever","fevers scarlet"
"d013290","streptococcal infections","infection streptococcal;streptococcal infection;group b strep infection;group b streptococcal infection;group a strep infection;group a streptococcal infection"
"d000197","actinomycosis cervicofacial",""
"d008061","whipple disease","whipples disease;disease whipples;whipples disease;lipodystrophy intestinal;intestinal lipodystrophy"
"d000196","actinomycosis","actinomycoses;actinomyces infections;infections actinomyces;actinomyces infection;infection actinomyces"
"d004165","diphtheria",""
"d004894","erythrasma",""
"d003354","corynebacterium infections","corynebacterium infection;infection corynebacterium"
"d054312","buruli ulcer","infections mycobacterium ulcerans;infection mycobacterium ulcerans;mycobacterium ulcerans infections;mycobacterium ulcerans infection;ulcer disease buruli;ulcer diseases buruli"
"d015440","leprosy lepromatous","lepromatous leprosies;leprosies lepromatous;leprosy cutaneous;cutaneous leprosies;cutaneous leprosy;leprosies cutaneous;leprosy nodular;leprosies nodular;nodular leprosies;nodular leprosy"
"d056006","leprosy multibacillary","leprosies multibacillary;multibacillary leprosies;midborderline lepromatous;lepromatous midborderline;borderline lepromatous;lepromatous borderline"
"d015439","leprosy borderline","borderline leprosies;leprosies borderline;leprosy dimorphous;dimorphous leprosies;dimorphous leprosy;leprosies dimorphous"
"d015441","leprosy tuberculoid","leprosies tuberculoid;tuberculoid leprosies;leprosy neural;leprosies neural;neural leprosies;neural leprosy;leprosy macular;leprosies macular;macular leprosies;macular leprosy"
"d056005","leprosy paucibacillary","leprosies paucibacillary;paucibacillary leprosies;indeterminate tuberculoid;indeterminate tuberculoids;tuberculoid indeterminate;tuberculoids indeterminate;borderline tuberculoid;borderline tuberculoids;tuberculoid borderline;tuberculoids borderline"
"d007918","leprosy","hansens disease;hansen disease"
"d015270","mycobacterium avium-intracellulare infection","infection mycobacterium intracellulare;infections mycobacterium intracellulare;mycobacterium intracellulare infections;mycobacterium intracellulare infection;infection mycobacterium avium intracellulare;infections mycobacterium avium-intracellulare;mycobacterium avium intracellulare infection"
"d010283","paratuberculosis","paratuberculoses;johnes disease;disease johnes;johnes disease;johne disease;disease johne"
"d009165","mycobacterium infections nontuberculous","mycobacterium infection nontuberculous;nontuberculous mycobacterium infection;infections atypical mycobacterium;mycobacterium infections atypical;atypical mycobacterium infections;atypical mycobacterium infection;mycobacterium infection atypical;mycobacterium abscessus infection;infection mycobacterium abscessus;infections mycobacterium abscessus;mycobacterium abscessus infections;atypical mycobacteriosis familial;familial atypical mycobacterioses;familial atypical mycobacteriosis;mycobacterioses familial atypical;mycobacteriosis familial atypical;atypical mycobacterial infection disseminated;atypical mycobacteriosis familial disseminated;atypical mycobacterial infection familial disseminated"
"d055985","latent tuberculosis","latent tuberculoses;tuberculoses latent;tuberculosis infection latent;tuberculosis infections latent"
"d014395","peritonitis tuberculous","tuberculosis peritoneal"
"d014375","tuberculoma",""
"d014379","tuberculosis avian","avian tuberculoses;tuberculoses avian"
"d014380","tuberculosis bovine","bovine tuberculoses;tuberculoses bovine"
"d010495","pericarditis tuberculous","pericarditides tuberculous;tuberculous pericarditides"
"d014381","tuberculosis cardiovascular","cardiovascular tuberculoses;tuberculoses cardiovascular"
"d014382","tuberculosis cutaneous","skin tuberculosis;tuberculid;scrofuloderma"
"d014383","tuberculosis endocrine","endocrine tuberculoses;tuberculoses endocrine"
"d014385","tuberculosis gastrointestinal",""
