"id","name","terms"
"d035163","bombax","bombax;bombax ceiba;salmalia malabaricum;malabaricum salmalia;bombax malabaricum;malabaricum bombax"
"d002099","cacao","cacao;cocoa plant;plant cocoa;theobroma cacao;theobroma"
"d035164","ceiba","ceiba;ceibas;ceiba pentandra;ceiba pentandras;pentandra ceiba;kapok tree;kapok trees;tree kapok;trees kapok"
"d030221","cola","cola;kola nut;kola nuts;nut kola;nuts kola;cola acuminata;cola nitida"
"d032381","corchorus",""
"d003368","gossypium","gossypium;gossypiums;cotton plant;cotton plants;plant cotton;plants cotton"
"d032382","grewia","grewia;grewias;dhaman tree;dhaman trees;tree dhaman;trees dhaman"
"d031584","hibiscus","hibiscus;hibiscus sabdariffa;roselle;roselles;hibiscus cannabinus;kenaf"
"d028501","malva","malva;malvas"
"d000076248","sida plant","sida plant;sida plants;plant sida;plants sida;fanpetals;fanpetal"
"d032361","sterculia","sterculia;sterculias;karaya;karayas;sterculia urens;sterculia uren;urens sterculia"
"d032384","tilia","tilia;tilias;basswood;basswoods;linden;lindens"
"d032385","triumfetta","triumfetta;triumfettas;triumfetta semitriloba;triumfetta semitrilobas;semitrilobas triumfetta"
"d019660","malvaceae","malvaceae;sterculiaceae;mallow family;mallow families;hollyhock;hollyhocks;alcea;waltheria;helicteres;helictere;mansonia"
"d032083","citrus paradisi","citrus paradisi;citrus x paradisi;grapefruit;grapefruits;toronja;toronjas"
"d032084","citrus sinensis","citrus sinensis;citrus sinenses;sinensis citrus;orange tree;orange trees;tree orange;trees orange;oranges;orange"
"d002957","citrus","citrus;citrus medica;citrus medicas;medicas citrus;citron tree;citron trees;tree citron;trees citron;citrus reticulata;citrus reticulatas;reticulata citrus;tangerine tree;tangerine trees;tree tangerine;trees tangerine;orange tree mandarin;mandarin orange tree;mandarin orange trees;orange trees mandarin;tree mandarin orange;trees mandarin orange;fruit citrus;citrus fruit;citrus bergamia;citrus bergamias;bergamia citrus;citrus limon;lemon tree;lemon trees;tree lemon;trees lemon;citrus hystrix;citrus hystrices;hystrices citrus;kaffir lime;lime kaffir;citrus maxima;maxima citrus;pomelo tree;pomelo trees;tree pomelo;trees pomelo;pummelo tree;pummelo trees;tree pummelo;trees pummelo;citrus grandis;citrus grandi;citrus aurantium;citrus aurantiums;aurantium citrus;orange tree bitter;bitter orange tree;bitter orange trees;orange trees bitter;tree bitter orange;trees bitter orange;orange tree sour;orange trees sour;sour orange tree;sour orange trees;tree sour orange;trees sour orange;orange tree seville;orange trees seville;seville orange tree;seville orange trees;tree seville orange;trees seville orange"
"d032082","citrus aurantiifolia","citrus aurantiifolia;citrus aurantiifolias;aurantiifolia citrus;limes"
"d065986","citrullus colocynthis","citrullus colocynthis;colocynth;colocynths;bitter-cucumber;bitter cucumber;bitter-cucumbers;bitter-apple;bitter apple;bitter-apples"
"d029773","citrullus","citrullus;watermelon;watermelons"
"d028463","cucumis melo","cucumis melo;cucumis melos;melos cucumis;cantaloupes;cantaloupe"
"d018553","cucumis sativus","cucumis sativus;cucumbers"
"d028462","cucumis","cucumis;cucumi"
"d028464","cucurbita","cucurbita;cucurbitas;squash plant;plant squash;plants squash;squash plants;squashes;squashe;pumpkins;pumpkin"
"d029774","gynostemma","gynostemma;gynostemmas;gynostemma pentaphyllum;gynostemma pentaphyllums;pentaphyllum gynostemma"
"d029776","luffa","luffa;luffas;loofah;loofahs;momordica luffa;momordica luffas;luffa momordica"
