"id","name","terms"
"d012597","sclerosing solutions","sclerosing solutions;solutions sclerosing;sclerosing injections;injections sclerosing;sclerosing agents;agents sclerosing;sclerosants;sclerosing drugs;drugs sclerosing"
"d019999","pharmaceutical solutions","pharmaceutical solutions;pharmaceutic solutions;solutions pharmaceutic;solutions pharmaceutical"
"d010968","plasticizers",""
"d002619","chemical warfare agents","chemical warfare agents;agent chemical warfare;chemical warfare agent;warfare agent chemical;warfare agents chemical;agents chemical warfare"
"d011042","poisons",""
"d003451","cryoprotective agents","cryoprotective agents;agents cryoprotective;cryoprotective effect;effect cryoprotective;cryoprotective effects;effects cryoprotective"
"d011837","radiation-protective agents","radiation-protective agents;radiation protectants;protectants radiation;radioprotective drugs;drugs radioprotective;radiation-protective drugs;drugs radiation-protective;radiation protective drugs;radioprotective agents;agents radioprotective;agents radiation-protective;agents radiation protective;radiation protective agents;protective agents radiation;radiation-protective effect;effect radiation-protective;radiation protective effect;radiation-protective effects;effects radiation-protective;radiation protective effects"
"d000931","antidotes","antidotes;theriacs;antidote"
"d000975","antioxidants","antioxidants;anti-oxidants;anti oxidants;antioxidant effect;anti-oxidant effect;anti oxidant effect;anti-oxidant effects;anti oxidant effects;antioxidant effects"
"d002316","cardiotonic agents","cardiotonic agents;cardiac stimulants;inotropic agents positive cardiac;cardiotonic drugs;cardiotonics;myocardial stimulants;cardioprotective agents"
"d016587","antimutagenic agents","antimutagenic agents;agents antimutagenic;antimutagens;anti-mutagenic agents;agents anti-mutagenic;anti mutagenic agents;antimutagenic effect;effect antimutagenic;anti-mutagenic effects;anti mutagenic effects;effects anti-mutagenic;antimutagenic effects;effects antimutagenic;anti-mutagenic effect;anti mutagenic effect;effect anti-mutagenic"
"d016588","anticarcinogenic agents","anticarcinogenic agents;agents anticarcinogenic;anti-carcinogenic drugs;anti carcinogenic drugs;drugs anti-carcinogenic;anticarcinogens;anti-carcinogenic agents;agents anti-carcinogenic;anti carcinogenic agents;anticarcinogenic drugs;drugs anticarcinogenic;anticarcinogenic effect;effect anticarcinogenic;anti-carcinogenic effects;anti carcinogenic effects;effects anti-carcinogenic;anticarcinogenic effects;effects anticarcinogenic;anti-carcinogenic effect;anti carcinogenic effect;effect anti-carcinogenic"
"d020011","protective agents","protective agents;agents protective;protective drugs;drugs protective"
"d013665","tear gases","tear gases;tear gas;gas tear"
"d012304","riot control agents chemical","riot control agents chemical;chemical riot control agents"
"d065096","calcium chelating agents","calcium chelating agents;agents calcium chelating;chelating agents calcium;calcium chelators;chelators calcium"
"d017262","siderophores","siderophores;siderochromes"
"d007502","iron chelating agents","iron chelating agents;agents iron chelating;chelating agents iron;iron chelates;chelates iron"
"d002614","chelating agents","chelating agents;agents chelating;chelators;complexons;metal antagonists;antagonists metal;metal chelating agents;agents metal chelating;chelating agents metal"
"d064449","sequestering agents","sequestering agents;agents sequestering;sequestering agent;agent sequestering"
"d052578","ionic liquids","ionic liquids;liquids ionic"
"d012997","solvents",""
"d065106","demulcents","demulcents;mucoprotective agents;agents mucoprotective"
"d012915","soaps","soaps;soap;soap solution;soap solutions;solution soap;solutions soap"
