"id","name","terms"
"d024505","tocopherols","tocopherols;tocopherol;tocovital;uno-vit;uno vit;unovit;vita-plus e;vita plus e;vitaplus e;vitagutt vitamin e;vitamin e vitagutt;vitamin e al;vitamin e natur;vitamin e sanum;vitamin e suspension;vitamin-e dragees;vitamin e dragees;vitamin-e evi-mirale;vitamin e evi mirale;vitamine evimirale;vitamine e gnr;vitazell;detulin;e vitamin e;vitamin e-mp;vitamin e mp;vitamin emp;e-ferol;e-mulsin;e mulsin;e-vicotrat;e vicotrat;e-vitamin-ratiopharm;ecoro;elex verla;embial;evion;ephynal;eplonat;equivit e;eunova vitamin e;antioxidans e-hevert;eusovit;hydrovit e;micorvit e;malton e;mowivit vitamin e;vitamin e mowivit;puncto e;richtavit e;sanavitan s;snow-e muscle energy feritility;dal-e;dal e;abortosan;aquasol e;auxina e;bio e;biopto-e;biosan;lasar;bioweyxin;davitamon;dermorelle;spondyvit;tocolion;tocopa;tocopharm;vibolex;vit e hydrosol;vit e stada;vita-e;vita e;vitae;tocopherol bayer;togasan vitamin e;vitamin e togasan;unique e"
"d024508","tocotrienols","tocotrienols;tocotrienol"
"d014810","vitamin e",""
"d001578","benzopyrans","benzopyrans;chromenes"
"d002599","chalcone","chalcone;benzalacetophenone;chalkone;13-diphenyl-2-propen-1-one;13 diphenyl 2 propen 1 one;benzylideneacetophenone"
"d059808","polyphenols","polyphenols;provinols"
"d060754","equol","equol;6-hydroxy-equol;6 hydroxy equol;4-o-methyl equol;4 o methyl equol;equol 4-o-methyl;4-methoxy-7-isoflavanol;4 methoxy 7 isoflavanol;--isomer of equol;3-hydroxy-equol;3 hydroxy equol"
"d053959","alpha-amanitin","alpha-amanitin;alpha amanitin;alpha-amanitine;alpha amanitine"
"d000546","amanitins",""
"d003571","cytochalasin b","cytochalasin b;phomin"
"d015638","cytochalasin d",""
"d003572","cytochalasins",""
"d037341","fumonisins",""
"d005912","gliotoxin","gliotoxin;aspergillin;gliotoxins"
"d007051","ibotenic acid","ibotenic acid;acid ibotenic"
"d055646","killer factors yeast","killer factors yeast;factors yeast killer;yeast killer factors;killer toxin yeast;toxin yeast killer;yeast killer toxin;yeast killer factor;killer factor yeast;factor yeast killer"
"d009118","muscimol","muscimol;pantherine;agarin"
"d010365","patulin",""
"d010398","penicillic acid","penicillic acid;acid penicillic"
"d010590","phalloidine","phalloidine;phalloidin"
"d013173","sporidesmins",""
"d013241","sterigmatocystin",""
