"meshID","name","terms","matched"
"","pr-toxin","","0"
"","prorocentrolide","","0"
"","prorocentrolide b","","0"
"","protoanemonin","","0"
"","protopine","","0"
"d011526","protoveratrines","protoveratrines;protalba;veratetrin;neoprotoveratrin;tensatrin;veralba;cryptenamine;protoverin;protoveratrine a","1"
"","protoveratrine b","","0"
"","prunasin","","0"
"","pseudoargiopinin i","","0"
"","pseudoargiopinin iii","","0"
"","pseudoconhydrine","","0"
"","psilocin","","0"
"d011562","psilocybin","psilocybin;psilocybine;psilocibin","1"
"","ptaquiloside","","0"
"","pumiliotoxin 251d","","0"
"","pumiliotoxin a","","0"
"","pyropheophorbide a","","0"
"","ranunculin","","0"
"","retronecine","","0"
"","rhodexin a","","0"
"","rhodocytin","","0"
"","rhodojaponin i","","0"
"d012276","ricin","ricin;lectin castor bean;rca60;ricinus toxin;toxin ricinus;rca 60;castor bean lectin;lectin ricinus;ricinus lectin;ricin i;ricin d;ricin a chain;a chain ricin;ricin b chain;b chain ricin","1"
"","ritterazine a","","0"
"","robustoxin","","0"
"","rubratoxin b","","0"
"","rugulosin","","0"
"d012433","ryanodine","","1"
"","salamandra venoms","","0"
"","samandarine","","0"
"","samandarone","","0"
"","samandenone","","0"
"","sanguinarine","","0"
"","satratoxin h","","0"
"d012530","saxitoxin","saxitoxin;saxitonin;gonyaulax toxin;toxin gonyaulax;mitilotoxin","1"
"","sclerocitrin","","0"
"d012601","scopolamine","scopolamine;hyoscine;transderm scop;scopoderm tts;transderm-v;transderm v;travacalm ho;vorigeno;boro-scopol;boro scopol;isopto hyoscine;kwells;scoburen;scopace;scopolamine cooper;scopolamine hydrobromide","1"
"d012604","scorpion venoms","scorpion venoms;venoms scorpion;scorpion venom;venom scorpion;beta-scorpion toxin;toxin beta-scorpion;beta scorpion toxin;gamma-scorpion toxin;toxin gamma-scorpion;gamma scorpion toxin;alpha-scorpion toxin;toxin alpha-scorpion;alpha scorpion toxin","1"
"","sempervirine","","0"
"","senecionine","","0"
"","senkirkine","","0"
"","slotoxin","","0"
